cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,cellchatdb,core,HBEGF,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,HBEGF,EGFR_ERBB2,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,core,HBEGF,ERBB2_ERBB4,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,HBEGF,ERBB2_ERBB4,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFR1,fibroblasts,Fibroblast,AT2,ATII,50,1.0,4,1,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFR1,fibroblasts,Myofibroblast,AT2,ATII,50,1.0,1,2,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFR2,fibroblasts,Fibroblast,AT2,ATII,50,1.0,4,1,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFR2,fibroblasts,Myofibroblast,AT2,ATII,50,1.0,1,2,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFRL1,fibroblasts,Fibroblast,AT2,ATII,50,1.0,4,1,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,exploratory,FGF10,FGFRL1,fibroblasts,Myofibroblast,AT2,ATII,50,1.0,1,2,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
