comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,FGF10,Pericytes,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,NK cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,FGF10,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Alveolar macrophages,macrophages,True,1,19,FGFR1;FGFR2;FGFR3
AT2,AT2,AIS,normal,FGF10,Interstitial Mph perivascular,macrophages,True,0,,
AT2,AT2,AIS,normal,FGF10,AT0,other,False,0,,
AT2,AT2,AIS,normal,FGF10,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,FGF10,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,FGF10,Peribronchial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,FGF10,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,FGF10,pre-TB secretory,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,DC2,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,FGF10,Hillock-like,other,False,0,,
