resource,ligand,receptor
cellchatdb,WNT2B,FZD4_LRP5
cellchatdb,WNT2B,FZD5_LRP5
cellchatdb,WNT2B,FZD6_LRP5
cellchatdb,WNT2B,FZD7_LRP5
cellchatdb,WNT2B,FZD8_LRP5
cellchatdb,WNT2B,FZD9_LRP5
cellchatdb,WNT3,FZD1_LRP5
cellchatdb,WNT3,FZD10_LRP5
cellchatdb,WNT3,FZD2_LRP5
cellchatdb,WNT3,FZD3_LRP5
cellchatdb,WNT3,FZD4_LRP5
cellchatdb,WNT3,FZD5_LRP5
cellchatdb,WNT3,FZD6_LRP5
cellchatdb,WNT3,FZD7_LRP5
cellchatdb,WNT3,FZD8_LRP5
cellchatdb,WNT3,FZD9_LRP5
cellchatdb,WNT3A,FZD1_LRP5
cellchatdb,WNT3A,FZD10_LRP5
cellchatdb,WNT3A,FZD2_LRP5
cellchatdb,WNT3A,FZD3_LRP5
cellchatdb,WNT3A,FZD4_LRP5
cellchatdb,WNT3A,FZD5_LRP5
cellchatdb,WNT3A,FZD6_LRP5
cellchatdb,WNT3A,FZD7_LRP5
cellchatdb,WNT3A,FZD8_LRP5
cellchatdb,WNT3A,FZD9_LRP5
cellchatdb,WNT4,FZD1_LRP5
cellchatdb,WNT4,FZD10_LRP5
cellchatdb,WNT4,FZD2_LRP5
cellchatdb,WNT4,FZD3_LRP5
cellchatdb,WNT4,FZD4_LRP5
cellchatdb,WNT4,FZD5_LRP5
cellchatdb,WNT4,FZD6_LRP5
cellchatdb,WNT4,FZD7_LRP5
cellchatdb,WNT4,FZD8_LRP5
cellchatdb,WNT4,FZD9_LRP5
cellchatdb,WNT6,FZD1_LRP5
cellchatdb,WNT6,FZD10_LRP5
cellchatdb,WNT6,FZD2_LRP5
cellchatdb,WNT6,FZD3_LRP5
cellchatdb,WNT6,FZD4_LRP5
cellchatdb,WNT6,FZD5_LRP5
cellchatdb,WNT6,FZD6_LRP5
cellchatdb,WNT6,FZD7_LRP5
cellchatdb,WNT6,FZD8_LRP5
cellchatdb,WNT6,FZD9_LRP5
cellchatdb,WNT7A,FZD1_LRP5
cellchatdb,WNT7A,FZD10_LRP5
cellchatdb,WNT7A,FZD2_LRP5
cellchatdb,WNT7A,FZD3_LRP5
cellchatdb,WNT7A,FZD4_LRP5
cellchatdb,WNT7A,FZD5_LRP5
cellchatdb,WNT7A,FZD6_LRP5
cellchatdb,WNT7A,FZD7_LRP5
cellchatdb,WNT7A,FZD8_LRP5
cellchatdb,WNT7A,FZD9_LRP5
cellchatdb,WNT7B,FZD1_LRP5
cellchatdb,WNT7B,FZD10_LRP5
cellchatdb,WNT7B,FZD2_LRP5
cellchatdb,WNT7B,FZD3_LRP5
cellchatdb,WNT7B,FZD4_LRP5
cellchatdb,WNT7B,FZD5_LRP5
cellchatdb,WNT7B,FZD6_LRP5
cellchatdb,WNT7B,FZD7_LRP5
cellchatdb,WNT7B,FZD8_LRP5
cellchatdb,WNT7B,FZD9_LRP5
cellchatdb,WNT8A,FZD1_LRP5
cellchatdb,WNT8A,FZD10_LRP5
cellchatdb,WNT8A,FZD2_LRP5
cellchatdb,WNT8A,FZD3_LRP5
cellchatdb,WNT8A,FZD4_LRP5
cellchatdb,WNT8A,FZD5_LRP5
cellchatdb,WNT8A,FZD6_LRP5
cellchatdb,WNT8A,FZD7_LRP5
