gene	supplied_set	source_cell	evidence
ARFGEF1	ATF3_unique	A71	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRLS1	HNF1B_unique	B71	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DEC1	ATF3 _HNF1B_common	C71	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH26	iATCs _upregulated	D71	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARFIP1	ATF3_unique	A72	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRYBB3	HNF1B_unique	B72	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DEPDC1	ATF3 _HNF1B_common	C72	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR11	iATCs _upregulated	D72	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP12	ATF3_unique	A73	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRYM	HNF1B_unique	B73	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DEPDC1B	ATF3 _HNF1B_common	C73	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADRA1B	iATCs _upregulated	D73	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP15	ATF3_unique	A74	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSMD3	HNF1B_unique	B74	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DHFR2	ATF3 _HNF1B_common	C74	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MTAP	iATCs _upregulated	D74	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP21	ATF3_unique	A75	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSNK1G3	HNF1B_unique	B75	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DIAPH2	ATF3 _HNF1B_common	C75	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COG2	iATCs _upregulated	D75	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGDIB	ATF3_unique	A76	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CST5	HNF1B_unique	B76	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DLGAP1	ATF3 _HNF1B_common	C76	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARF6	iATCs _upregulated	D76	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGEF10L	ATF3_unique	A77	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTBP2	HNF1B_unique	B77	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAJC15	ATF3 _HNF1B_common	C77	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR1	iATCs _upregulated	D77	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGEF38	ATF3_unique	A78	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTGF	HNF1B_unique	B78	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOPEY1	ATF3 _HNF1B_common	C78	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FIGN	iATCs _upregulated	D78	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARL4C	ATF3_unique	A79	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTH	HNF1B_unique	B79	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPY19L1	ATF3 _HNF1B_common	C79	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SULT1C2	iATCs _upregulated	D79	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARL4D	ATF3_unique	A80	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTSC	HNF1B_unique	B80	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DUSP26	ATF3 _HNF1B_common	C80	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF21A	iATCs _upregulated	D80	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARL8B	ATF3_unique	A81	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTSH	HNF1B_unique	B81	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EDN1	ATF3 _HNF1B_common	C81	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEMA3C	iATCs _upregulated	D81	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARMC2	ATF3_unique	A82	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTSK	HNF1B_unique	B82	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EHBP1	ATF3 _HNF1B_common	C82	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MSL3	iATCs _upregulated	D82	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARNTL2	ATF3_unique	A83	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX46	HNF1B_unique	B83	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF4E3	ATF3 _HNF1B_common	C83	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DEPDC1B	iATCs _upregulated	D83	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARRDC3	ATF3_unique	A84	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DERA	HNF1B_unique	B84	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF4G2	ATF3 _HNF1B_common	C84	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MAP3K1	iATCs _upregulated	D84	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARSE	ATF3_unique	A85	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAI2	HNF1B_unique	B85	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELOVL7	ATF3 _HNF1B_common	C85	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MPP7	iATCs _upregulated	D85	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ART4	ATF3_unique	A86	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOCK1	HNF1B_unique	B86	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EML1	ATF3 _HNF1B_common	C86	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASSF3	iATCs _upregulated	D86	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASB2	ATF3_unique	A87	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOCK7	HNF1B_unique	B87	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENC1	ATF3 _HNF1B_common	C87	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SCN3A	iATCs _upregulated	D87	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASB5	ATF3_unique	A88	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPP10	HNF1B_unique	B88	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENOX1	ATF3 _HNF1B_common	C88	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GNS	iATCs _upregulated	D88	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASB7	ATF3_unique	A89	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPP4	HNF1B_unique	B89	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENPP6	ATF3 _HNF1B_common	C89	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRM7	iATCs _upregulated	D89	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASB9	ATF3_unique	A90	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EBF3	HNF1B_unique	B90	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPHA5	ATF3 _HNF1B_common	C90	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BCO1	iATCs _upregulated	D90	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASCC2	ATF3_unique	A91	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EDRF1	HNF1B_unique	B91	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ESR2	ATF3 _HNF1B_common	C91	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NECTIN1	iATCs _upregulated	D91	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASCC3	ATF3_unique	A92	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFNA5	HNF1B_unique	B92	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ETAA1	ATF3 _HNF1B_common	C92	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFIT5	iATCs _upregulated	D92	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASPG	ATF3_unique	A93	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EHF	HNF1B_unique	B93	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EVL	ATF3 _HNF1B_common	C93	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LRP12	iATCs _upregulated	D93	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASPSCR1	ATF3_unique	A94	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELL2	HNF1B_unique	B94	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM133A	ATF3 _HNF1B_common	C94	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELOVL7	iATCs _upregulated	D94	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASTN2	ATF3_unique	A95	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELMO1	HNF1B_unique	B95	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM189A1	ATF3 _HNF1B_common	C95	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXP1	iATCs _upregulated	D95	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATAD1	ATF3_unique	A96	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EML6	HNF1B_unique	B96	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM3D	ATF3 _HNF1B_common	C96	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC38A11	iATCs _upregulated	D96	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATE1	ATF3_unique	A97	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPRS	HNF1B_unique	B97	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM49A	ATF3 _HNF1B_common	C97	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LMBRD1	iATCs _upregulated	D97	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATG10	ATF3_unique	A98	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ERMP1	HNF1B_unique	B98	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM84B	ATF3 _HNF1B_common	C98	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SRGAP1	iATCs _upregulated	D98	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATG5	ATF3_unique	A99	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EVI5	HNF1B_unique	B99	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAP	ATF3 _HNF1B_common	C99	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDUFB4	iATCs _upregulated	D99	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
