pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
TNXB to ITGA9_ITGB1,426.5,421.0,26.0,571.0,613.0,22.0,consensus
TXLNA to STX3,512.0,543.0,23.0,673.5,698.0,20.0,consensus
TXLNA to STX4,432.0,426.0,26.0,664.0,691.0,22.0,consensus
VCAN to CD44,211.0,197.0,19.0,347.0,329.0,17.0,consensus
VCAN to EGFR,295.0,267.0,19.0,298.0,278.0,17.0,consensus
VCAN to ITGB1,313.0,285.0,19.0,353.0,335.0,17.0,consensus
VCL to ITGB5,119.0,111.0,26.0,101.0,89.0,22.0,consensus
VEGFA to CD44,78.0,59.0,25.0,67.0,53.0,21.0,consensus
VEGFA to EGFR,141.0,131.0,25.0,102.0,90.0,21.0,consensus
VEGFA to EPHB2,483.0,500.0,22.0,780.5,738.0,18.0,consensus
VEGFA to GPC1,481.0,492.0,19.0,682.5,702.0,16.0,consensus
VEGFA to ITGA9,351.0,324.0,25.0,344.0,325.0,21.0,consensus
VEGFA to ITGAV,157.0,146.0,25.0,134.0,128.0,21.0,consensus
VEGFA to ITGB1,144.0,133.0,25.0,150.0,141.0,21.0,consensus
VEGFA to NRP1,165.0,158.0,25.0,162.0,151.0,21.0,consensus
VEGFA to NRP2,434.0,431.0,20.0,637.0,668.0,18.0,consensus
VEGFA to SIRPA,376.0,359.0,24.0,579.0,621.0,20.0,consensus
VEGFB to NRP1,346.0,319.0,25.0,307.0,285.0,21.0,consensus
VIM to CD44,9.5,3.0,26.0,23.0,16.0,22.0,consensus
VWF to ITGA9,662.0,710.0,17.0,923.0,756.0,14.0,consensus
VWF to ITGB1,665.0,711.0,17.0,924.5,757.0,14.0,consensus
VWF to LRP1,603.0,652.0,17.0,925.5,758.0,14.0,consensus
VWF to SCARA5,604.0,654.0,17.0,926.5,759.0,14.0,consensus
VWF to SIRPA,637.0,689.0,16.0,929.0,760.0,13.0,consensus
WIF1 to RYK,383.0,363.0,23.0,580.0,624.0,20.0,consensus
WNT2B to FZD1_LRP6,925.0,790.0,13.0,931.0,761.0,11.0,consensus
WNT2B to FZD6_LRP5,,,,933.0,762.0,11.0,consensus
WNT2B to FZD6_LRP6,891.0,789.0,13.0,949.0,764.0,12.0,consensus
WNT5A to ANTXR1,394.0,378.0,15.0,503.5,543.0,12.0,consensus
WNT5A to FZD1,772.0,760.0,13.0,,,,consensus
WNT5A to LDLR,631.0,685.0,14.0,721.0,722.0,12.0,consensus
WNT5A to PTK7,623.0,672.0,13.0,,,,consensus
WNT5A to PTPRK,438.0,436.0,15.0,618.0,652.0,12.0,consensus
WNT5A to ROR1,399.0,385.0,15.0,619.0,653.0,12.0,consensus
WNT5A to ROR2,407.0,399.0,15.0,541.5,589.0,12.0,consensus
WNT5A to RYK,457.0,466.0,15.0,685.0,704.0,12.0,consensus
WNT5B to FZD1_LRP5,799.5,775.0,14.0,887.0,752.0,12.0,consensus
WNT5B to FZD1_LRP6,827.5,786.0,16.0,943.0,763.0,13.0,consensus
WNT5B to FZD6_LRP5,764.0,756.0,14.0,817.0,742.0,13.0,consensus
WNT5B to FZD6_LRP6,780.0,764.0,16.0,954.0,767.0,14.0,consensus
WNT7A to RECK,368.0,348.0,13.0,449.0,481.0,11.0,consensus
WNT7B to FZD1_LRP5,771.0,759.0,13.0,828.0,746.0,11.0,consensus
WNT7B to FZD1_LRP6,780.0,763.0,15.0,920.0,755.0,12.0,consensus
WNT7B to FZD6_LRP5,761.0,755.0,13.0,819.0,743.0,12.0,consensus
WNT7B to FZD6_LRP6,751.0,753.0,15.0,949.0,765.0,13.0,consensus
WNT7B to TMED5,400.0,389.0,25.0,344.0,326.0,21.0,consensus
WNT9A to FZD1_LRP5,793.5,771.0,14.0,907.0,754.0,12.0,consensus
WNT9A to FZD1_LRP6,816.5,780.0,16.0,950.0,766.0,13.0,consensus
WNT9A to FZD6_LRP5,793.0,770.0,14.0,838.0,747.0,13.0,consensus
WNT9A to FZD6_LRP6,785.0,767.0,16.0,967.0,768.0,14.0,consensus
ZP3 to EGFR,332.0,304.0,25.0,527.0,568.0,22.0,consensus
ZP3 to MERTK,725.5,743.0,20.0,803.0,740.0,17.0,consensus
A2M to LRP1,14.5,8.0,18.0,182.5,180.0,12.0,connectomedb2020
ADAM10 to EPHA3,185.5,177.0,22.0,153.0,144.0,21.0,connectomedb2020
ADAM12 to ITGA9,203.5,201.0,26.0,143.0,133.0,22.0,connectomedb2020
ADAM12 to ITGB1,94.0,94.0,26.0,83.0,78.0,22.0,connectomedb2020
ADAM12 to SDC4,259.0,266.0,23.0,148.0,139.0,19.0,connectomedb2020
ADAM15 to ITGA5,237.0,240.0,24.0,173.5,163.0,20.0,connectomedb2020
ADAM15 to ITGA9,235.0,234.0,26.0,174.5,168.0,22.0,connectomedb2020
ADAM15 to ITGAV,172.5,162.0,26.0,147.5,137.0,22.0,connectomedb2020
ADAM15 to ITGB1,175.5,166.0,26.0,147.5,138.0,22.0,connectomedb2020
ADAM17 to ITGA5,164.5,158.0,24.0,135.0,122.0,20.0,connectomedb2020
ADAM17 to ITGB1,83.5,82.0,26.0,72.0,64.0,22.0,connectomedb2020
ADAM9 to ITGAV,53.0,42.0,26.0,37.5,26.0,22.0,connectomedb2020
ADAM9 to ITGB1,55.5,47.0,26.0,40.0,30.0,22.0,connectomedb2020
ADAM9 to ITGB5,76.0,71.0,26.0,65.0,54.0,22.0,connectomedb2020
ADGRE5 to CD55,108.0,112.0,26.0,87.5,87.0,22.0,connectomedb2020
ADM to RAMP2,290.0,312.0,15.0,188.0,186.0,13.0,connectomedb2020
AFDN to EPHB2,206.0,206.0,23.0,165.0,158.0,19.0,connectomedb2020
AFDN to NECTIN2,94.0,95.0,26.0,88.0,88.0,22.0,connectomedb2020
AFDN to NECTIN3,223.0,226.0,24.0,163.0,155.0,21.0,connectomedb2020
AGRN to DAG1,298.0,317.0,24.0,190.0,188.0,21.0,connectomedb2020
AGRN to MUSK,192.0,188.0,25.0,165.0,159.0,21.0,connectomedb2020
ALCAM to NRP1,18.0,15.0,26.0,12.0,9.0,22.0,connectomedb2020
ANGPT1 to ITGA5,220.0,223.0,14.0,,,,connectomedb2020
ANGPT1 to ITGB1,120.0,121.0,14.0,,,,connectomedb2020
ANOS1 to FGFR1,42.0,30.0,26.0,39.0,28.0,22.0,connectomedb2020
ANOS1 to SDC2,82.5,76.0,26.0,66.0,58.0,22.0,connectomedb2020
ANXA1 to EGFR,12.0,6.0,26.0,7.0,2.0,22.0,connectomedb2020
APOD to LEPR,229.0,230.0,23.0,156.0,148.0,20.0,connectomedb2020
APOE to LDLR,196.0,191.0,23.0,159.0,150.0,20.0,connectomedb2020
APOE to LRP1,29.5,24.0,26.0,39.0,29.0,22.0,connectomedb2020
APOE to LRP5,350.5,370.0,18.0,195.0,194.0,15.0,connectomedb2020
APP to CAV1,48.5,38.0,26.0,34.0,21.0,22.0,connectomedb2020
APP to CD74,25.5,20.0,26.0,19.5,15.0,22.0,connectomedb2020
APP to GPC1,244.0,248.0,20.0,159.0,151.0,17.0,connectomedb2020
APP to LRP1,15.0,10.0,26.0,11.0,6.0,22.0,connectomedb2020
APP to NCSTN,263.5,274.0,24.0,206.0,209.0,20.0,connectomedb2020
APP to TNFRSF21,378.5,390.0,16.0,241.5,254.0,14.0,connectomedb2020
AREG to EGFR,42.5,33.0,26.0,35.5,23.0,22.0,connectomedb2020
ARF1 to INSR,137.5,137.0,26.0,112.5,107.0,22.0,connectomedb2020
ASIP to ATRN,244.0,249.0,19.0,208.0,213.0,18.0,connectomedb2020
AZGP1 to ITGAV,137.0,136.0,21.0,135.0,123.0,18.0,connectomedb2020
B2M to HLA-F,293.5,314.0,16.0,187.0,184.0,14.0,connectomedb2020
BMP2 to ACVR2A,211.0,209.0,26.0,178.0,176.0,21.0,connectomedb2020
BMP2 to BMPR1A,203.0,200.0,26.0,180.0,177.0,21.0,connectomedb2020
BMP2 to BMPR1B,241.0,243.0,16.0,222.0,227.0,15.0,connectomedb2020
BMP2 to BMPR2,179.5,172.0,26.0,174.0,166.0,21.0,connectomedb2020
BMP2 to ENG,222.5,225.0,26.0,176.0,171.0,21.0,connectomedb2020
BMP6 to ACVR1,360.0,377.0,19.0,223.0,229.0,17.0,connectomedb2020
BMP6 to ACVR2A,320.5,338.0,22.0,204.0,205.0,19.0,connectomedb2020
BMP6 to BMPR1A,311.5,329.0,22.0,201.0,201.0,19.0,connectomedb2020
BMP6 to BMPR1B,362.0,382.0,13.0,213.0,218.0,12.0,connectomedb2020
BMP6 to BMPR2,314.5,330.0,22.0,177.0,174.0,19.0,connectomedb2020
BMP7 to ACVR1,327.0,350.0,17.0,236.0,247.0,15.0,connectomedb2020
BMP7 to ACVR2A,267.5,284.0,18.0,228.5,235.0,16.0,connectomedb2020
BMP7 to BMPR1A,267.5,283.0,18.0,228.5,236.0,16.0,connectomedb2020
BMP7 to BMPR1B,299.0,318.0,14.0,233.0,239.0,13.0,connectomedb2020
BMP7 to BMPR2,253.0,260.0,18.0,199.0,199.0,16.0,connectomedb2020
BMP7 to ENG,278.0,297.0,18.0,228.5,237.0,16.0,connectomedb2020
BSG to SLC16A1,130.5,130.0,26.0,107.0,102.0,22.0,connectomedb2020
BSG to SLC16A7,95.0,98.0,26.0,86.5,84.0,22.0,connectomedb2020
BTC to EGFR,287.5,310.0,22.0,234.0,241.0,19.0,connectomedb2020
BTC to ERBB4,323.0,344.0,19.0,244.0,257.0,17.0,connectomedb2020
C1QB to LRP1,103.0,107.0,26.0,87.0,85.0,22.0,connectomedb2020
C3 to CD46,82.5,77.0,26.0,60.0,48.0,22.0,connectomedb2020
C3 to LRP1,13.5,7.0,26.0,11.5,8.0,22.0,connectomedb2020
C3 to NRP1,28.5,22.0,26.0,26.5,19.0,22.0,connectomedb2020
C4A to NRP1,161.5,155.0,24.0,174.5,169.0,20.0,connectomedb2020
C4BPA to BMPR2,136.0,135.0,22.0,136.0,125.0,19.0,connectomedb2020
C4BPA to CD40,254.5,262.0,18.0,197.5,197.0,16.0,connectomedb2020
C4BPA to LRP1,104.0,109.0,22.0,91.0,90.0,19.0,connectomedb2020
C5 to C5AR1,360.0,376.0,18.0,227.5,232.0,16.0,connectomedb2020
CADM1 to CADM3,144.5,143.0,24.0,143.0,134.0,20.0,connectomedb2020
CADM1 to NECTIN3,267.5,285.0,24.0,192.0,190.0,21.0,connectomedb2020
CALR to ITGAV,131.5,131.0,26.0,127.0,115.0,22.0,connectomedb2020
CALR to LRP1,105.0,110.0,26.0,99.5,100.0,22.0,connectomedb2020
CD14 to ITGB1,299.0,319.0,17.0,216.5,223.0,14.0,connectomedb2020
CD47 to SIRPA,182.0,173.0,25.0,184.0,182.0,21.0,connectomedb2020
CD55 to ADGRE5,198.5,195.0,22.0,189.0,187.0,18.0,connectomedb2020
CD6 to ALCAM,368.0,383.0,17.0,255.0,268.0,15.0,connectomedb2020
CDH1 to EGFR,11.0,4.0,26.0,7.5,3.0,22.0,connectomedb2020
CDH1 to IGF1R,25.0,18.0,26.0,24.0,18.0,22.0,connectomedb2020
CDH1 to ITGAE,153.0,147.0,26.0,130.5,119.0,22.0,connectomedb2020
CDH1 to PTPRM,23.5,17.0,26.0,20.5,17.0,22.0,connectomedb2020
CLEC11A to ITGA11,362.0,381.0,17.0,213.0,219.0,11.0,connectomedb2020
CLEC11A to ITGB1,229.0,231.0,21.0,203.0,203.0,13.0,connectomedb2020
CNTN1 to NOTCH2,341.0,364.0,17.0,229.0,238.0,17.0,connectomedb2020
CNTN4 to PTPRG,17.5,14.0,26.0,48.0,36.0,22.0,connectomedb2020
COL14A1 to CD44,190.0,184.0,21.0,193.0,191.0,14.0,connectomedb2020
COL18A1 to GPC1,310.5,327.0,20.0,228.0,233.0,15.0,connectomedb2020
COL18A1 to ITGA5,212.0,211.0,22.0,208.0,214.0,16.0,connectomedb2020
COL18A1 to ITGB1,117.5,118.0,24.0,165.5,160.0,18.0,connectomedb2020
COL18A1 to PTPRS,79.5,75.0,24.0,139.0,130.0,18.0,connectomedb2020
COL1A1 to CD44,42.5,31.0,24.0,38.0,27.0,19.0,connectomedb2020
COL1A1 to DDR2,53.5,43.0,24.0,36.0,25.0,19.0,connectomedb2020
COL1A1 to ITGA11,300.0,320.0,19.0,253.0,267.0,15.0,connectomedb2020
COL1A1 to ITGA2,344.5,367.0,20.0,198.0,198.0,16.0,connectomedb2020
COL1A1 to ITGA5,190.0,185.0,23.0,193.0,192.0,18.0,connectomedb2020
COL1A1 to ITGB1,89.0,85.0,24.0,87.0,86.0,19.0,connectomedb2020
COL1A2 to CD44,30.0,26.0,19.0,139.0,131.0,13.0,connectomedb2020
COL1A2 to ITGA11,305.0,323.0,15.0,,,,connectomedb2020
COL1A2 to ITGA2,385.0,392.0,17.0,247.5,262.0,12.0,connectomedb2020
COL1A2 to ITGB1,65.0,52.0,19.0,183.0,181.0,13.0,connectomedb2020
COL3A1 to DDR2,77.5,74.0,20.0,193.0,193.0,15.0,connectomedb2020
COL4A1 to ITGA1,77.0,73.0,25.0,163.0,156.0,18.0,connectomedb2020
COL4A1 to ITGAV,72.0,61.0,25.0,142.0,132.0,18.0,connectomedb2020
COL4A1 to ITGB1,52.0,40.0,25.0,159.5,152.0,18.0,connectomedb2020
COL4A1 to ITGB8,204.0,203.0,23.0,218.0,224.0,16.0,connectomedb2020
COL4A3 to CD47,152.0,146.0,25.0,164.0,157.0,21.0,connectomedb2020
COL4A3 to ITGAV,125.0,126.0,25.0,122.0,112.0,21.0,connectomedb2020
COL8A1 to ITGA1,87.0,83.0,26.0,82.0,74.0,21.0,connectomedb2020
COL8A1 to ITGA2,318.0,334.0,21.0,203.0,204.0,17.0,connectomedb2020
COLQ to MUSK,336.0,358.0,22.0,260.0,273.0,19.0,connectomedb2020
CP to SLC40A1,226.0,228.0,26.0,176.5,173.0,22.0,connectomedb2020
CX3CL1 to ITGAV,162.0,156.0,25.0,144.0,135.0,21.0,connectomedb2020
CXCL8 to SDC2,42.5,32.0,26.0,34.5,22.0,22.0,connectomedb2020
DAG1 to LAMA4,139.0,139.0,26.0,121.0,111.0,22.0,connectomedb2020
DCN to EGFR,126.5,127.0,24.0,162.0,154.0,19.0,connectomedb2020
DCN to ERBB4,277.0,296.0,19.0,240.0,251.0,17.0,connectomedb2020
DKK1 to KREMEN1,282.5,305.0,14.0,249.0,264.0,13.0,connectomedb2020
DKK1 to LRP6,294.0,315.0,13.0,273.5,286.0,12.0,connectomedb2020
DLL1 to NOTCH2,179.0,170.0,25.0,155.0,146.0,21.0,connectomedb2020
DLL1 to NOTCH3,422.5,404.0,14.0,303.0,315.0,12.0,connectomedb2020
EDN1 to EDNRA,183.0,176.0,22.0,176.0,172.0,18.0,connectomedb2020
EDN2 to EDNRA,268.0,286.0,13.0,213.0,220.0,12.0,connectomedb2020
EFEMP1 to EGFR,82.5,78.0,26.0,60.5,49.0,22.0,connectomedb2020
EFNA1 to EPHA3,205.5,205.0,22.0,212.0,217.0,21.0,connectomedb2020
EFNA4 to EPHA3,,,,305.0,317.0,11.0,connectomedb2020
EFNA5 to EPHA3,159.5,153.0,22.0,168.0,162.0,21.0,connectomedb2020
EFNA5 to EPHB2,250.0,257.0,23.0,234.0,242.0,19.0,connectomedb2020
EFNB1 to EPHB2,301.0,321.0,17.0,313.0,323.0,15.0,connectomedb2020
EFNB2 to EPHA3,214.0,216.0,22.0,216.0,222.0,20.0,connectomedb2020
EFNB2 to EPHB2,244.0,247.0,23.0,248.5,263.0,18.0,connectomedb2020
EREG to EGFR,200.0,197.0,22.0,215.0,221.0,19.0,connectomedb2020
EREG to ERBB4,281.5,302.0,18.0,287.0,295.0,17.0,connectomedb2020
F8 to LDLR,326.5,349.0,16.0,247.0,260.0,15.0,connectomedb2020
F8 to LRP1,303.0,322.0,17.0,235.0,243.0,16.0,connectomedb2020
FAM3C to LIFR,263.5,273.0,24.0,219.0,226.0,20.0,connectomedb2020
FBLN1 to ITGB1,159.0,152.0,24.0,145.0,136.0,20.0,connectomedb2020
FBN1 to ITGA5,245.5,251.0,18.0,250.0,265.0,13.0,connectomedb2020
FBN1 to ITGAV,163.0,157.0,19.0,240.0,252.0,14.0,connectomedb2020
FBN1 to ITGB1,179.0,171.0,19.0,239.5,250.0,14.0,connectomedb2020
FGF18 to FGFR1,257.0,265.0,17.0,247.0,261.0,15.0,connectomedb2020
FGF2 to CD44,269.5,287.0,16.0,,,,connectomedb2020
FGF2 to FGFR1,270.5,288.0,16.0,,,,connectomedb2020
FGF2 to NRP1,265.5,278.0,16.0,,,,connectomedb2020
FGF2 to SDC2,267.0,282.0,16.0,,,,connectomedb2020
FGF2 to SDC4,357.0,373.0,14.0,,,,connectomedb2020
FN1 to CD44,17.0,13.0,26.0,19.5,16.0,22.0,connectomedb2020
FN1 to COL13A1,400.0,397.0,13.0,,,,connectomedb2020
FN1 to ITGA2,272.0,291.0,21.0,218.5,225.0,18.0,connectomedb2020
FN1 to ITGA5,129.0,129.0,24.0,130.0,118.0,20.0,connectomedb2020
FN1 to ITGA8,33.0,27.0,23.0,46.0,35.0,19.0,connectomedb2020
FN1 to ITGA9,150.0,145.0,26.0,153.0,145.0,22.0,connectomedb2020
FN1 to ITGAV,54.0,44.0,26.0,54.0,40.0,22.0,connectomedb2020
FN1 to ITGB1,53.0,41.0,26.0,61.5,50.0,22.0,connectomedb2020
FN1 to ITGB8,203.5,202.0,24.0,204.0,206.0,20.0,connectomedb2020
FN1 to NT5E,199.0,196.0,23.0,222.0,228.0,21.0,connectomedb2020
FN1 to PLAUR,76.0,70.0,26.0,76.0,67.0,22.0,connectomedb2020
FN1 to SDC2,54.0,45.0,26.0,54.5,42.0,22.0,connectomedb2020
FSTL1 to DIP2A,193.0,189.0,25.0,235.5,244.0,22.0,connectomedb2020
GAS6 to AXL,61.5,49.0,26.0,66.0,59.0,22.0,connectomedb2020
GAS6 to MERTK,324.5,346.0,20.0,252.0,266.0,17.0,connectomedb2020
GDF11 to ACVR1B,325.0,347.0,13.0,,,,connectomedb2020
GDF11 to ACVR2A,316.0,331.0,14.0,,,,connectomedb2020
GNAI2 to C5AR1,260.0,269.0,24.0,259.0,272.0,20.0,connectomedb2020
GNAI2 to CAV1,123.5,124.0,26.0,107.5,103.0,22.0,connectomedb2020
GNAI2 to EDNRA,174.0,164.0,23.0,157.0,149.0,19.0,connectomedb2020
GNAI2 to EGFR,100.5,104.0,26.0,82.5,76.0,22.0,connectomedb2020
GNAI2 to F2R,266.5,280.0,20.0,227.0,231.0,17.0,connectomedb2020
GNAI2 to IGF1R,116.0,117.0,26.0,96.5,93.0,22.0,connectomedb2020
GPC3 to CD81,186.5,179.0,26.0,155.5,147.0,22.0,connectomedb2020
GPC3 to IGF1R,194.5,190.0,26.0,167.0,161.0,22.0,connectomedb2020
GPI to AMFR,219.0,220.0,26.0,228.0,234.0,22.0,connectomedb2020
GRN to SORT1,330.5,354.0,22.0,266.0,278.0,18.0,connectomedb2020
GRN to TNFRSF1A,93.5,93.0,26.0,89.0,89.0,22.0,connectomedb2020
HBEGF to CD44,82.5,79.0,26.0,74.0,66.0,22.0,connectomedb2020
HBEGF to CD82,212.0,210.0,23.0,205.0,208.0,19.0,connectomedb2020
HBEGF to CD9,134.5,134.0,26.0,114.5,108.0,22.0,connectomedb2020
HBEGF to EGFR,103.0,106.0,26.0,85.0,82.0,22.0,connectomedb2020
HBEGF to ERBB4,202.0,199.0,21.0,262.0,275.0,19.0,connectomedb2020
HLA-A to APLP2,16.5,12.0,26.0,12.0,10.0,22.0,connectomedb2020
HLA-B to CANX,44.5,35.0,26.0,35.5,24.0,22.0,connectomedb2020
HMGB1 to HAVCR2,339.0,360.0,13.0,,,,connectomedb2020
HMGB1 to THBD,252.0,259.0,21.0,277.0,289.0,18.0,connectomedb2020
HRAS to AGTR1,260.0,270.0,17.0,281.0,292.0,16.0,connectomedb2020
HRAS to CAV1,196.0,193.0,25.0,191.5,189.0,22.0,connectomedb2020
HRAS to INSR,227.0,229.0,25.0,233.5,240.0,22.0,connectomedb2020
HSP90AA1 to EGFR,4.5,2.0,26.0,3.0,1.0,22.0,connectomedb2020
HSPG2 to COL13A1,401.0,398.0,13.0,,,,connectomedb2020
HSPG2 to ITGA2,330.0,353.0,21.0,243.0,255.0,18.0,connectomedb2020
HSPG2 to ITGB1,93.0,92.0,26.0,84.5,81.0,22.0,connectomedb2020
HSPG2 to PTPRS,74.0,66.0,26.0,54.0,41.0,22.0,connectomedb2020
IGFBP4 to LRP6,283.0,306.0,21.0,287.0,296.0,17.0,connectomedb2020
IGSF11 to VSIR,318.5,335.0,22.0,268.0,282.0,19.0,connectomedb2020
IL15 to IL15RA,261.0,271.0,24.0,284.0,293.0,20.0,connectomedb2020
IL16 to CD4,276.0,295.0,23.0,238.0,249.0,19.0,connectomedb2020
IL18 to IL1RAPL1,284.5,307.0,22.0,279.0,290.0,18.0,connectomedb2020
IL1RAPL1 to PTPRD,235.5,235.0,24.0,243.0,256.0,21.0,connectomedb2020
IL1RAPL1 to PTPRS,217.5,218.0,24.0,244.0,258.0,21.0,connectomedb2020
IL1RN to IL1R1,261.0,272.0,17.0,245.0,259.0,15.0,connectomedb2020
IL6 to IL6R,345.0,368.0,15.0,366.0,361.0,11.0,connectomedb2020
IL6 to IL6ST,237.0,239.0,21.0,257.5,271.0,14.0,connectomedb2020
INHBB to ACVR1,322.5,340.0,22.0,272.0,285.0,19.0,connectomedb2020
INHBB to ACVR1B,271.0,289.0,23.0,264.0,276.0,20.0,connectomedb2020
INHBB to ACVR2A,220.0,222.0,25.0,195.0,195.0,21.0,connectomedb2020
ITGAV to THY1,71.5,60.0,26.0,58.5,47.0,22.0,connectomedb2020
ITGB2 to THY1,236.0,238.0,23.0,255.0,269.0,20.0,connectomedb2020
JAG1 to CD46,141.5,141.0,26.0,138.5,129.0,22.0,connectomedb2020
JAG1 to NOTCH2,133.5,133.0,26.0,136.5,126.0,22.0,connectomedb2020
JAG1 to NOTCH3,368.5,385.0,14.0,370.0,363.0,12.0,connectomedb2020
JAG2 to NOTCH2,264.5,276.0,18.0,314.0,326.0,16.0,connectomedb2020
LAMA1 to ITGA1,273.0,292.0,25.0,265.0,277.0,21.0,connectomedb2020
LAMA1 to ITGA2,421.0,403.0,20.0,306.0,318.0,17.0,connectomedb2020
LAMA1 to ITGB1,259.0,268.0,25.0,267.0,280.0,21.0,connectomedb2020
LAMA1 to ITGB8,331.0,355.0,23.0,308.0,319.0,19.0,connectomedb2020
LAMA1 to RPSA,273.0,293.0,25.0,269.0,283.0,21.0,connectomedb2020
LAMA2 to DAG1,327.0,352.0,24.0,297.0,308.0,21.0,connectomedb2020
LAMA2 to ITGB1,94.0,96.0,26.0,82.5,77.0,22.0,connectomedb2020
LAMA2 to RPSA,45.5,36.0,26.0,40.0,31.0,22.0,connectomedb2020
LAMA3 to SDC2,83.5,81.0,26.0,65.5,56.0,22.0,connectomedb2020
LAMB1 to ITGB1,119.0,120.0,21.0,196.5,196.0,18.0,connectomedb2020
LAMB2 to RPSA,70.0,58.0,25.0,66.5,60.0,22.0,connectomedb2020
LAMC2 to ITGB1,74.5,68.0,26.0,65.5,57.0,22.0,connectomedb2020
LGALS1 to ITGB1,29.5,25.0,26.0,44.0,34.0,22.0,connectomedb2020
LGALS3BP to ITGB1,65.5,54.0,26.0,56.5,44.0,22.0,connectomedb2020
LGALS9 to CD44,142.0,142.0,23.0,130.5,120.0,20.0,connectomedb2020
LIF to IL6ST,97.0,102.0,20.0,85.0,83.0,18.0,connectomedb2020
LIF to LIFR,273.5,294.0,18.0,292.5,304.0,16.0,connectomedb2020
LIPH to LPAR1,50.0,39.0,26.0,42.5,33.0,22.0,connectomedb2020
LPL to LRP1,245.0,250.0,24.0,288.0,298.0,19.0,connectomedb2020
LRPAP1 to LDLR,231.0,232.0,23.0,235.5,245.0,20.0,connectomedb2020
LRPAP1 to LRP1,75.0,69.0,26.0,63.5,53.0,22.0,connectomedb2020
LRPAP1 to SORT1,358.5,374.0,22.0,301.5,313.0,18.0,connectomedb2020
LTBP1 to ITGB5,94.5,97.0,26.0,128.5,116.0,22.0,connectomedb2020
LTBP3 to ITGB5,186.5,178.0,26.0,173.5,164.0,22.0,connectomedb2020
LTF to LRP1,65.0,53.0,22.0,53.0,38.0,19.0,connectomedb2020
MDK to ITGB1,57.0,48.0,26.0,48.0,37.0,22.0,connectomedb2020
MDK to LRP1,25.5,19.0,26.0,17.5,13.0,22.0,connectomedb2020
MDK to NOTCH2,98.0,103.0,26.0,82.0,75.0,22.0,connectomedb2020
MDK to SDC3,368.5,384.0,16.0,300.0,311.0,14.0,connectomedb2020
MDK to SDC4,266.0,279.0,23.0,261.0,274.0,19.0,connectomedb2020
MFGE8 to ITGAV,92.5,91.0,26.0,174.5,170.0,22.0,connectomedb2020
MFGE8 to PDGFRB,139.0,140.0,26.0,206.5,211.0,22.0,connectomedb2020
MMP1 to ITGA2,,,,348.0,352.0,11.0,connectomedb2020
MMP13 to LRP1,322.5,341.0,14.0,337.0,341.0,13.0,connectomedb2020
MMP2 to SDC2,212.0,213.0,17.0,236.5,248.0,14.0,connectomedb2020
MMP7 to CD151,72.5,62.0,24.0,63.0,52.0,21.0,connectomedb2020
MMP7 to CD44,11.0,5.0,24.0,9.0,4.0,21.0,connectomedb2020
MMP7 to ERBB4,210.0,208.0,19.0,271.0,284.0,18.0,connectomedb2020
MMRN2 to CD248,356.0,372.0,16.0,328.5,332.0,14.0,connectomedb2020
NAMPT to INSR,96.5,101.0,26.0,78.0,69.0,22.0,connectomedb2020
NCAM1 to FGFR1,318.0,333.0,14.0,292.0,302.0,12.0,connectomedb2020
NCAM1 to GFRA1,323.0,343.0,13.0,333.0,336.0,11.0,connectomedb2020
NCAM1 to ROBO1,317.0,332.0,14.0,294.0,306.0,12.0,connectomedb2020
NECTIN1 to CADM3,248.0,254.0,21.0,275.0,287.0,18.0,connectomedb2020
NECTIN1 to NECTIN3,326.0,348.0,22.0,301.0,312.0,19.0,connectomedb2020
NECTIN2 to NECTIN3,259.0,267.0,24.0,292.0,303.0,21.0,connectomedb2020
NECTIN3 to CADM1,412.0,401.0,15.0,,,,connectomedb2020
NECTIN3 to CADM3,264.0,275.0,24.0,288.0,299.0,19.0,connectomedb2020
NECTIN3 to NECTIN2,236.0,237.0,26.0,267.0,281.0,21.0,connectomedb2020
NELL2 to ROBO3,339.0,361.0,15.0,372.5,366.0,12.0,connectomedb2020
NID1 to ITGAV,74.0,67.0,19.0,,,,connectomedb2020
NLGN1 to NRXN2,282.0,303.0,13.0,,,,connectomedb2020
NLGN1 to NRXN3,247.0,253.0,23.0,294.0,307.0,20.0,connectomedb2020
NPNT to ITGA8,68.0,55.0,23.0,55.0,43.0,19.0,connectomedb2020
NPNT to ITGB1,90.0,87.0,26.0,78.5,71.0,22.0,connectomedb2020
NRG1 to ERBB4,178.0,167.0,21.0,290.0,300.0,19.0,connectomedb2020
NRG2 to ERBB4,321.0,339.0,21.0,343.0,346.0,19.0,connectomedb2020
NRG3 to ERBB4,240.0,242.0,16.0,337.0,342.0,14.0,connectomedb2020
NRG4 to ERBB4,250.0,256.0,21.0,293.0,305.0,19.0,connectomedb2020
NTN1 to NEO1,175.0,165.0,25.0,148.5,141.0,22.0,connectomedb2020
NTN1 to UNC5B,412.0,402.0,13.0,,,,connectomedb2020
NTN1 to UNC5C,72.5,63.0,26.0,65.0,55.0,22.0,connectomedb2020
NTN1 to UNC5D,279.0,299.0,18.0,308.0,320.0,15.0,connectomedb2020
NTRK3 to PTPRD,71.0,59.0,17.0,,,,connectomedb2020
NTRK3 to PTPRS,55.0,46.0,17.0,,,,connectomedb2020
