compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,gobp,GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION,17,2.263825434470153,0.0012063797965876442,0.002,1.5831467260364576,0.056575691220014365,True,False,Not established
macrophages,gobp,GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,38,2.2606632925774304,0.0012166687500766646,0.002,1.2164518093265393,0.2511806547623258,True,False,Not established
macrophages,gobp,GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,20,2.260529892316096,0.001198776562575537,0.0,1.0529599318795442,0.4489591031725538,True,False,Not established
macrophages,gobp,GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,20,2.2530121523921687,0.001263826453568008,0.002,0.7980379867836994,0.8657574443425178,True,False,Not established
macrophages,gobp,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,419,2.2406187404481175,0.0015165917442816097,0.0,1.0893189415969236,0.403319567676306,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH,28,2.2345372666293493,0.0015486324149354466,0.002,1.0363902790130501,0.4799013115455375,True,False,Not established
macrophages,gobp,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,301,2.233564593576854,0.0015534533491773433,0.0,1.3575977481182249,0.16728044294551855,True,False,Not established
macrophages,gobp,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,107,2.229713028319044,0.0016879873866148054,0.0,1.9075340059703163,0.005921269377687944,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,31,2.229065452645473,0.0016651767462551458,0.008,0.8406801470181899,0.8151897490941362,True,False,Not established
macrophages,gobp,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,56,2.220035578027678,0.001845186622209292,0.0,2.424636280571115,0.0,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_MATURATION_OF_SSU_RRNA,53,2.2196805758121645,0.0018209078508644328,0.002,-0.8171309757417984,1.0,True,False,Not established
macrophages,gobp,GOBP_CHROMOSOME_SEGREGATION,399,2.218160649233101,0.00182187969280583,0.0,1.1943356866787445,0.26642978464887673,True,False,Not established
macrophages,gobp,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,27,2.210795196267882,0.001968652744980936,0.004,0.9411809622204698,0.6528774913255687,True,False,Not established
macrophages,gobp,GOBP_MITOTIC_CYTOKINESIS,84,2.20210957339347,0.0020157232044249246,0.0,1.4400564378095502,0.11262232863551663,True,False,Not established
macrophages,gobp,GOBP_PSEUDOURIDINE_SYNTHESIS,18,2.1939438128384867,0.0021090103943916137,0.002,0.7143832874675905,0.9429730197604117,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,18,2.1935092958250215,0.002106377422613347,0.0,-0.6893452785298635,0.9971138558043189,True,False,Not established
macrophages,gobp,GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,217,2.1694919286679974,0.0028898470737073363,0.0,1.1751779567057064,0.2832964683464809,True,False,Not established
macrophages,gobp,GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,18,2.169063886750181,0.0028778698761970306,0.006,1.747380809391912,0.022139833967013037,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_ACTIN_FILAMENT_SEVERING,16,2.1597249094490603,0.0030918611453360206,0.004,1.282562935155597,0.20507341283518302,True,False,Not established
macrophages,gobp,GOBP_VACUOLAR_ACIDIFICATION,35,2.1588466367310915,0.003077789128100914,0.008,1.0808574959676531,0.41074445592830633,True,False,Not established
macrophages,gobp,GOBP_MITOTIC_DNA_REPLICATION,17,2.1587053768757842,0.003042000882425322,0.002,1.9622773896443455,0.004778568269713078,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT,39,2.1572558840848406,0.0030506155775779508,0.002,1.9608132504487534,0.00447990775285601,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_CYTOKINETIC_PROCESS,43,2.150728200259098,0.0032744594478807485,0.002,1.1690658079043295,0.2908953434187836,True,False,Not established
macrophages,gobp,GOBP_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,31,2.13107079788821,0.004153586940097106,0.006,1.4512102822131128,0.10595955728494216,True,False,Not established
